Game,Date,Team,Home,Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
26,12/8/2018,LAL,0,Kyle Kuzma\kuzmaky01,34:13,8,16,.500,4,8,.500,0,0,,3,6,9,6,1,2,1,2,20,+17,.625,.625,.500,.000,9.1,17.9,13.6,26.5,1.5,5.2,5.9,19.8,147,91
26,12/8/2018,LAL,0,LeBron James\jamesle01,31:38,9,18,.500,0,3,.000,2,3,.667,1,7,8,9,2,0,5,2,20,+21,.518,.500,.167,.167,3.3,22.6,13.1,46.5,3.2,0.0,20.6,30.7,107,90
26,12/8/2018,LAL,0,Lonzo Ball\balllo01,22:56,2,9,.222,0,5,.000,0,0,,0,0,0,2,2,0,3,3,4,-3,.222,.222,.556,.000,0.0,0.0,0.0,10.8,4.4,0.0,25.0,20.9,51,93
26,12/8/2018,LAL,0,JaVale McGee\mcgeeja01,21:38,4,10,.400,0,0,,2,2,1.000,5,5,10,2,0,0,2,4,10,+2,.460,.400,.000,.200,24.1,23.6,23.9,13.0,0.0,0.0,15.5,23.8,109,96
26,12/8/2018,LAL,0,Sviatoslav Mykhailiuk\mykhasv01,23:01,4,8,.500,3,6,.500,0,0,,1,2,3,0,0,0,1,1,11,+25,.688,.688,.750,.000,4.5,8.9,6.7,0.0,0.0,0.0,11.1,15.6,130,101
26,12/8/2018,LAL,0,Tyson Chandler\chandty01,22:27,1,2,.500,0,0,,2,2,1.000,4,10,14,1,1,0,0,1,4,+22,.694,.500,.000,1.000,18.6,45.5,32.2,5.2,2.2,0.0,0.0,5.1,187,86
26,12/8/2018,LAL,0,Kentavious Caldwell-Pope\caldwke01,21:29,6,10,.600,4,8,.500,0,0,,1,0,1,1,1,1,2,2,16,+17,.800,.800,.800,.000,4.9,0.0,2.4,7.5,2.3,4.1,16.7,22.3,132,95
26,12/8/2018,LAL,0,Lance Stephenson\stephla01,15:29,4,10,.400,1,2,.500,0,0,,1,3,4,2,0,0,2,1,9,+9,.450,.450,.200,.000,6.7,19.8,13.3,20.3,0.0,0.0,16.7,30.9,95,98
26,12/8/2018,LAL,0,Isaac Bonga\bongais01,4:25,0,2,.000,0,1,.000,1,1,1.000,1,1,2,1,1,0,2,2,1,-1,.205,.000,.500,.500,23.6,23.1,23.4,25.3,11.3,0.0,45.0,40.1,50,72
26,12/8/2018,LAL,0,Moritz Wagner\wagnemo01,3:50,0,2,.000,0,0,,0,2,.000,0,0,0,1,0,0,0,0,0,+1,.000,.000,.000,1.000,0.0,0.0,0.0,29.1,0.0,0.0,0.0,30.0,27,103
26,12/8/2018,LAL,0,Ivica Zubac\zubaciv01,3:11,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,0,0,+3,,,,,0.0,64.2,32.4,0.0,0.0,27.9,,0.0,0,66
26,12/8/2018,LAL,0,Michael Beasley\beaslmi01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
27,12/10/2018,LAL,1,Kyle Kuzma\kuzmaky01,39:44,14,22,.636,3,7,.429,2,2,1.000,1,6,7,1,0,0,3,0,33,+16,.721,.705,.318,.091,2.5,15.1,8.8,5.0,0.0,0.0,11.6,28.2,124,112
27,12/10/2018,LAL,1,LeBron James\jamesle01,37:31,10,19,.526,4,7,.571,4,8,.500,0,9,9,12,1,0,2,0,28,+18,.622,.632,.368,.421,0.0,24.0,12.0,54.4,1.3,0.0,8.2,28.3,133,106
27,12/10/2018,LAL,1,Lonzo Ball\balllo01,37:06,4,11,.364,1,3,.333,1,2,.500,4,3,7,4,3,2,1,1,10,+18,.421,.409,.273,.182,10.8,8.1,9.4,14.4,3.9,4.3,7.8,15.0,108,103
27,12/10/2018,LAL,1,Josh Hart\hartjo01,34:56,3,9,.333,2,5,.400,1,2,.500,1,4,5,0,0,1,1,2,9,+8,.455,.444,.556,.222,2.9,11.5,7.2,0.0,0.0,2.3,9.2,13.5,90,112
27,12/10/2018,LAL,1,JaVale McGee\mcgeeja01,14:36,1,7,.143,0,0,,2,4,.500,2,6,8,0,0,4,2,1,4,+10,.228,.143,.000,.571,13.7,41.1,27.4,0.0,0.0,21.9,18.6,31.9,53,89
27,12/10/2018,LAL,1,Tyson Chandler\chandty01,24:36,2,3,.667,0,0,,0,0,,3,2,5,2,1,0,0,2,4,-15,.667,.667,.000,.000,12.2,8.1,10.2,10.5,2.0,0.0,0.0,5.3,171,110
27,12/10/2018,LAL,1,Kentavious Caldwell-Pope\caldwke01,23:48,4,11,.364,3,7,.429,0,0,,1,1,2,3,1,0,0,0,11,-14,.500,.500,.636,.000,4.2,4.2,4.2,18.4,2.0,0.0,0.0,20.0,119,111
27,12/10/2018,LAL,1,Lance Stephenson\stephla01,15:54,2,4,.500,0,1,.000,2,2,1.000,0,2,2,1,1,0,2,3,6,-8,.615,.500,.250,.500,0.0,12.6,6.3,8.6,3.1,0.0,29.1,18.7,92,105
27,12/10/2018,LAL,1,Sviatoslav Mykhailiuk\mykhasv01,11:49,1,4,.250,1,2,.500,0,0,,0,1,1,1,2,0,1,1,3,-18,.375,.375,.500,.000,0.0,8.5,4.2,11.0,8.3,0.0,20.0,18.3,72,96
