Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,CHO,,MIL,L 112-113,240,42,85,0.494,28,51,0.549,14,34,0.412,15,20,0.75,113,110.2,0.235,0.4,0.602,0.576,0.176,25.6,58.2,61.9,4.9,7.4,18.3
2,10/19/2018,CHO,@,ORL,W 120-88,240,36,94,0.383,30,63,0.476,6,31,0.194,10,14,0.714,88,87.2,0.149,0.33,0.439,0.415,0.106,21.8,44.4,50,7.9,13,13
3,10/20/2018,CHO,@,MIA,W 113-112,240,41,89,0.461,30,55,0.545,11,34,0.324,19,27,0.704,112,112.6,0.303,0.382,0.555,0.522,0.213,30,55.1,51.2,4,21.6,12.9
4,10/22/2018,CHO,@,TOR,L 106-127,240,50,87,0.575,35,48,0.729,15,39,0.385,12,14,0.857,127,126.8,0.161,0.448,0.682,0.661,0.138,15.6,52.9,72,10,11.6,12.2
5,10/24/2018,CHO,@,CHI,L 110-112,240,37,77,0.481,27,48,0.563,10,29,0.345,28,35,0.8,112,119.2,0.455,0.377,0.606,0.545,0.364,24.3,55.6,56.8,4.3,10,13.2
6,10/26/2018,CHO,,CHI,W 135-106,240,37,85,0.435,21,49,0.429,16,36,0.444,16,22,0.727,106,108.9,0.259,0.424,0.56,0.529,0.188,17,40.5,56.8,5.1,11.5,12.1
7,10/27/2018,CHO,@,PHI,L 103-105,240,35,91,0.385,25,63,0.397,10,28,0.357,25,30,0.833,105,104.6,0.33,0.308,0.504,0.44,0.275,26.4,53.8,51.4,4,13.3,9.5
8,10/30/2018,CHO,,MIA,W 125-113,240,41,87,0.471,30,59,0.508,11,28,0.393,20,24,0.833,113,115.1,0.276,0.322,0.579,0.534,0.23,24.4,46.6,61,9.2,9.4,13.3
9,11/1/2018,CHO,,OKC,L 107-111,240,41,96,0.427,33,59,0.559,8,37,0.216,21,29,0.724,111,107.2,0.302,0.385,0.51,0.469,0.219,25.9,49,48.8,11.6,17.3,8.4
10,11/3/2018,CHO,,CLE,W 126-94,240,35,81,0.432,25,55,0.455,10,26,0.385,14,15,0.933,94,97.3,0.185,0.321,0.537,0.494,0.173,7.3,34.2,62.9,10.3,3.3,12.9
11,11/6/2018,CHO,,ATL,W 113-102,240,41,85,0.482,35,55,0.636,6,30,0.2,14,18,0.778,102,94.5,0.212,0.353,0.549,0.518,0.165,16.7,46.3,53.7,12,14.8,19.1
12,11/9/2018,CHO,@,PHI,L 132-133 (OT),265,45,94,0.479,33,57,0.579,12,37,0.324,31,41,0.756,133,118,0.436,0.394,0.594,0.543,0.33,27.1,54.6,73.3,2.7,21.4,12.5
13,11/11/2018,CHO,@,DET,W 113-103,240,38,104,0.365,26,60,0.433,12,44,0.273,15,19,0.789,103,106.7,0.183,0.423,0.458,0.423,0.144,35.5,52.6,55.3,5.2,7,8.2
14,11/13/2018,CHO,@,CLE,L 89-113,240,45,85,0.529,32,61,0.525,13,24,0.542,10,12,0.833,113,118.1,0.141,0.282,0.626,0.606,0.118,35.9,61.9,51.1,5.2,5.6,17.4
15,11/17/2018,CHO,,PHI,L 119-122 (OT),265,39,93,0.419,28,58,0.483,11,35,0.314,33,38,0.868,122,104.7,0.409,0.376,0.556,0.478,0.355,18.4,52,59,7.7,8.8,14.8
