Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
16,11/19/2018,CHO,,BOS,W 117-112,240,45,89,0.506,36,57,0.632,9,32,0.281,13,18,0.722,112,111.5,0.202,0.36,0.578,0.556,0.146,18.2,48.2,68.9,9,12.5,11
17,11/21/2018,CHO,,IND,W 127-109,240,41,84,0.488,30,51,0.588,11,33,0.333,16,17,0.941,109,116.4,0.202,0.393,0.596,0.554,0.19,25,50.7,63.4,5.3,13.7,13.3
18,11/23/2018,CHO,@,OKC,L 104-109,240,41,93,0.441,30,60,0.5,11,33,0.333,16,24,0.667,109,107.5,0.258,0.355,0.526,0.5,0.172,23.9,50,58.5,5.9,3.2,11.9
19,11/25/2018,CHO,@,ATL,L 123-124,240,50,94,0.532,34,55,0.618,16,39,0.41,8,11,0.727,124,122,0.117,0.415,0.627,0.617,0.085,22,49.4,68,4.9,19.1,13.2
20,11/26/2018,CHO,,MIL,W 110-107,240,37,90,0.411,21,44,0.477,16,46,0.348,17,21,0.81,107,107.3,0.233,0.511,0.539,0.5,0.189,20.4,52.2,67.6,7,9.6,12.4
21,11/28/2018,CHO,,ATL,W 108-94,240,32,93,0.344,21,49,0.429,11,44,0.25,19,22,0.864,94,90.4,0.237,0.473,0.458,0.403,0.204,29.1,55.1,62.5,10.6,12.7,15.6
22,11/30/2018,CHO,,UTA,L 111-119,240,44,81,0.543,26,41,0.634,18,40,0.45,13,18,0.722,119,121.8,0.222,0.494,0.669,0.654,0.16,16.2,51.9,72.7,5.1,7.5,13.6
23,12/2/2018,CHO,,NOP,L 109-119,240,44,86,0.512,33,54,0.611,11,32,0.344,20,24,0.833,119,116.9,0.279,0.372,0.616,0.576,0.233,23.1,54.9,68.2,5.9,9.1,15
24,12/5/2018,CHO,@,MIN,L 104-121,240,48,89,0.539,36,65,0.554,12,24,0.5,13,20,0.65,121,121.7,0.225,0.27,0.619,0.607,0.146,27,55.6,70.8,6,16.9,13.3
25,12/7/2018,CHO,,DEN,W 113-107,240,39,101,0.386,31,66,0.47,8,35,0.229,21,26,0.808,107,112,0.257,0.347,0.476,0.426,0.208,36.4,53.4,61.5,6.3,23.5,7.4
26,12/9/2018,CHO,@,NYK,W 119-107,240,44,93,0.473,31,67,0.463,13,26,0.5,6,7,0.857,107,104.1,0.075,0.28,0.557,0.543,0.065,18.2,49.4,63.6,4.9,3.8,15
27,12/12/2018,CHO,,DET,W 108-107,240,40,86,0.465,27,52,0.519,13,34,0.382,14,21,0.667,107,108.4,0.244,0.395,0.562,0.541,0.163,21.7,53.8,57.5,4.1,17.5,12.8
28,12/14/2018,CHO,,NYK,L 124-126 (OT),265,47,98,0.48,35,64,0.547,12,34,0.353,20,31,0.645,126,113.8,0.316,0.347,0.564,0.541,0.204,17.6,47.4,57.4,9.9,14.8,8.2
