Rk,Date,Tm,Home,Opp,Result,MP,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,DEN,@,LAC,W 107-98,240,99.1,0.273,0.318,0.497,0.443,0.227,35,88,0.398,27,60,0.45,8,28,0.286,20,24,0.833,98,17.6,45.6,60,3,14.3,10.9
2,10/20/2018,DEN,,PHO,W 119-91,240,88.8,0.455,0.506,0.492,0.448,0.286,29,77,0.377,18,38,0.474,11,39,0.282,22,35,0.629,91,18.2,42.6,69,5.9,7,17.1
3,10/21/2018,DEN,,GSW,W 100-98,240,100.3,0.304,0.367,0.547,0.5,0.241,36,79,0.456,29,50,0.58,7,29,0.241,19,24,0.792,98,15,46,61.1,4.1,11.1,16.7
4,10/23/2018,DEN,,SAC,W 126-112,240,111.6,0.233,0.36,0.591,0.599,0.105,45,86,0.523,32,55,0.582,13,31,0.419,9,20,0.45,112,20.9,44.3,64.4,7,8.7,14.4
5,10/25/2018,DEN,@,LAL,L 114-121,240,114.4,0.25,0.315,0.592,0.554,0.207,46,92,0.5,36,63,0.571,10,29,0.345,19,23,0.826,121,20.9,48.8,58.7,12.3,4.3,11.3
6,10/29/2018,DEN,,NOP,W 116-111,240,106.2,0.244,0.293,0.611,0.591,0.171,43,82,0.524,32,58,0.552,11,24,0.458,14,20,0.7,111,17.9,51.8,65.1,7.7,8.6,19.5
7,10/31/2018,DEN,@,CHI,W 108-107 (OT),265,105.3,0.196,0.37,0.535,0.511,0.141,39,92,0.424,23,58,0.397,16,34,0.471,13,18,0.722,107,20.4,43.4,69.2,6.9,8.2,11.5
8,11/1/2018,DEN,@,CLE,W 110-91,240,104.1,0.229,0.217,0.498,0.44,0.217,34,83,0.41,29,65,0.446,5,18,0.278,18,19,0.947,91,30.2,44.3,52.9,12.6,6.8,12.5
9,11/3/2018,DEN,,UTA,W 103-88,240,92.4,0.296,0.383,0.481,0.444,0.198,33,81,0.407,27,50,0.54,6,31,0.194,16,24,0.667,88,20,45.5,66.7,12.6,12.7,11.6
10,11/5/2018,DEN,,BOS,W 115-107,240,110.7,0.138,0.356,0.58,0.557,0.115,44,87,0.506,35,56,0.625,9,31,0.29,10,12,0.833,107,17.9,46,50,9.3,16.1,11.5
11,11/7/2018,DEN,@,MEM,L 87-89,240,101.1,0.357,0.3,0.549,0.486,0.3,30,70,0.429,22,49,0.449,8,21,0.381,21,25,0.84,89,22.2,46.8,63.3,7.9,14,17.3
12,11/9/2018,DEN,,BRK,L 110-112,240,114.6,0.477,0.375,0.526,0.477,0.318,36,88,0.409,24,55,0.436,12,33,0.364,28,42,0.667,112,23.5,43.8,58.3,7.2,13,7
13,11/11/2018,DEN,,MIL,L 114-121,240,126.5,0.155,0.405,0.674,0.673,0.095,48,84,0.571,31,50,0.62,17,34,0.5,8,13,0.615,121,14.7,51.3,56.3,10.5,13.7,11.8
14,11/13/2018,DEN,,HOU,L 99-109,240,122.2,0.366,0.521,0.661,0.641,0.254,39,71,0.549,26,34,0.765,13,37,0.351,18,26,0.692,109,20,50.8,59,7.9,11.8,14.5
15,11/15/2018,DEN,,ATL,W 138-93,240,87.6,0.293,0.457,0.448,0.397,0.217,32,92,0.348,23,50,0.46,9,42,0.214,20,27,0.741,93,25,43.4,62.5,6.6,7.9,15.5
16,11/17/2018,DEN,@,NOP,L 115-125,240,123.6,0.391,0.287,0.613,0.54,0.356,42,87,0.483,32,62,0.516,10,25,0.4,31,34,0.912,125,23.3,51.7,69,5.9,14.3,9.7
17,11/19/2018,DEN,@,MIL,L 98-104,240,106,0.25,0.409,0.532,0.517,0.148,40,88,0.455,29,52,0.558,11,36,0.306,13,22,0.591,104,30.2,54.3,52.5,8.2,5.7,13.3
18,11/21/2018,DEN,@,MIN,W 103-101,240,106.3,0.329,0.405,0.558,0.5,0.278,35,79,0.443,26,47,0.553,9,32,0.281,22,26,0.846,101,20.5,50,68.6,8.4,5.6,15.8
19,11/23/2018,DEN,,ORL,W 112-87,240,90.7,0.241,0.405,0.498,0.456,0.19,32,79,0.405,24,47,0.511,8,32,0.25,15,19,0.789,87,9.3,42,75,7.3,3.1,13
20,11/24/2018,DEN,@,OKC,W 105-98,240,98.2,0.223,0.379,0.433,0.403,0.146,37,103,0.359,28,64,0.438,9,39,0.231,15,23,0.652,98,32.8,50,59.5,9,7.7,8.1
