Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,MEM,@,IND,L 83-111,240,47,83,0.566,37,57,0.649,10,26,0.385,7,13,0.538,111,118.7,0.157,0.313,0.626,0.627,0.084,38.2,67.1,61.7,2.1,12.7,18.4
2,10/19/2018,MEM,,ATL,W 131-117,240,41,83,0.494,27,53,0.509,14,30,0.467,21,36,0.583,117,110.4,0.434,0.361,0.592,0.578,0.253,24.4,49.4,65.9,8.5,9.1,16.1
3,10/22/2018,MEM,@,UTA,W 92-84,240,29,82,0.354,21,50,0.42,8,32,0.25,18,23,0.783,84,88.5,0.28,0.39,0.456,0.402,0.22,21.7,53.8,62.1,6.3,10.7,14
4,10/24/2018,MEM,@,SAC,L 92-97,240,35,83,0.422,29,65,0.446,6,18,0.333,21,33,0.636,97,99.7,0.398,0.217,0.497,0.458,0.253,29.4,53.8,54.3,7.2,8.8,12.6
5,10/27/2018,MEM,,PHO,W 117-96,240,36,78,0.462,27,45,0.6,9,33,0.273,15,19,0.789,96,98.2,0.244,0.423,0.556,0.519,0.192,12.2,47.3,77.8,5.1,1.9,18
6,10/30/2018,MEM,,WAS,W 107-95,240,32,74,0.432,18,39,0.462,14,35,0.4,17,20,0.85,95,99.5,0.27,0.473,0.574,0.527,0.23,13.5,49.3,75,9.4,15.2,19.5
7,11/2/2018,MEM,@,UTA,W 110-100,240,36,77,0.468,22,41,0.537,14,36,0.389,14,25,0.56,100,111,0.325,0.468,0.568,0.558,0.182,25,50,58.3,3.3,10.2,13.7
8,11/4/2018,MEM,@,PHO,L 100-102,240,33,64,0.516,19,32,0.594,14,32,0.438,22,26,0.846,102,111.3,0.406,0.5,0.676,0.625,0.344,19.2,55.2,75.8,7.6,5.7,24.1
9,11/5/2018,MEM,@,GSW,L 101-117,240,41,81,0.506,28,57,0.491,13,24,0.542,22,23,0.957,117,123.2,0.284,0.296,0.642,0.586,0.272,23.5,60.5,70.7,4.2,7.1,12.5
10,11/7/2018,MEM,,DEN,W 89-87,240,32,82,0.39,24,50,0.48,8,32,0.25,15,19,0.789,87,98.8,0.232,0.39,0.481,0.439,0.183,31.7,53.2,59.4,10.2,6.1,15
11,11/10/2018,MEM,,PHI,W 112-106 (OT),265,44,85,0.518,36,54,0.667,8,31,0.258,10,16,0.625,106,101.8,0.188,0.365,0.576,0.565,0.118,21.1,51.6,61.4,9.6,8.2,20
12,11/12/2018,MEM,,UTA,L 88-96,240,32,82,0.39,23,50,0.46,9,32,0.281,23,30,0.767,96,101.3,0.366,0.39,0.504,0.445,0.28,27.7,53.8,59.4,7.4,10.9,13.6
13,11/14/2018,MEM,@,MIL,W 116-113,240,41,81,0.506,32,46,0.696,9,35,0.257,22,27,0.815,113,114.1,0.333,0.432,0.608,0.562,0.272,23.1,56.4,53.7,5,17,14.7
14,11/16/2018,MEM,,SAC,W 112-104,240,37,80,0.463,25,47,0.532,12,33,0.364,18,24,0.75,104,104.9,0.3,0.413,0.574,0.538,0.225,22.5,51.2,62.2,9.1,3.3,18.8
15,11/18/2018,MEM,@,MIN,W 100-87,240,31,80,0.388,19,51,0.373,12,29,0.414,13,16,0.813,87,92.6,0.2,0.363,0.5,0.463,0.163,23.3,53.3,64.5,8.5,5.6,18.7
16,11/19/2018,MEM,,DAL,W 98-88,240,30,88,0.341,20,56,0.357,10,32,0.313,18,21,0.857,88,92.5,0.239,0.364,0.452,0.398,0.205,14.9,48.9,56.7,8.4,8.2,8.5
17,11/21/2018,MEM,@,SAS,W 104-103,240,35,82,0.427,28,60,0.467,7,22,0.318,26,30,0.867,103,111.6,0.366,0.268,0.541,0.47,0.317,21.7,51.8,60,4.3,8.9,7.8
18,11/23/2018,MEM,@,LAC,L 107-112 (OT),265,40,94,0.426,32,71,0.451,8,23,0.348,24,27,0.889,112,104.4,0.287,0.245,0.529,0.468,0.255,16.3,50.5,65,5.6,7.7,9.4
19,11/25/2018,MEM,,NYK,L 98-103,240,34,91,0.374,26,69,0.377,8,22,0.364,27,32,0.844,103,109.8,0.352,0.242,0.49,0.418,0.297,28.6,57.7,50,4.3,8.9,6.2
20,11/27/2018,MEM,,TOR,L 114-122,240,42,69,0.609,24,36,0.667,18,33,0.545,20,28,0.714,122,132.3,0.406,0.478,0.75,0.739,0.29,14.3,47,59.5,5.4,8.9,15.6
21,11/30/2018,MEM,@,BRK,W 131-125 (2OT),290,42,94,0.447,26,50,0.52,16,44,0.364,25,30,0.833,125,111.9,0.319,0.468,0.583,0.532,0.266,24.4,53.1,61.9,6.3,5.6,13
22,12/2/2018,MEM,@,PHI,L 95-103,240,36,74,0.486,28,52,0.538,8,22,0.364,23,30,0.767,103,104.4,0.405,0.297,0.591,0.541,0.311,8.6,55.7,61.1,5.1,3.9,15.5
23,12/5/2018,MEM,,LAC,W 96-86,240,25,74,0.338,17,51,0.333,8,23,0.348,28,35,0.8,86,89.7,0.473,0.311,0.481,0.392,0.378,22.4,49,64,9.4,7,16.8
24,12/7/2018,MEM,@,NOP,W 107-103,240,38,84,0.452,31,55,0.564,7,29,0.241,20,24,0.833,103,106.3,0.286,0.345,0.545,0.494,0.238,23.8,50,65.8,5.2,7.8,16
25,12/8/2018,MEM,,LAL,L 88-111,240,43,97,0.443,27,57,0.474,16,40,0.4,9,12,0.75,111,115.7,0.124,0.412,0.543,0.526,0.093,41.3,61.3,62.8,11.5,11.1,15
26,12/10/2018,MEM,@,DEN,L 99-105,240,39,77,0.506,30,49,0.612,9,28,0.321,18,23,0.783,105,119.5,0.299,0.364,0.603,0.565,0.234,28.2,54.1,56.4,12.5,12.8,13
27,12/12/2018,MEM,,POR,W 92-83,240,32,87,0.368,26,65,0.4,6,22,0.273,13,16,0.813,83,84.5,0.184,0.253,0.441,0.402,0.149,8.7,46.3,46.9,11.2,15.5,13
28,12/14/2018,MEM,,MIA,L 97-100,240,36,82,0.439,21,43,0.488,15,39,0.385,13,18,0.722,100,113.7,0.22,0.476,0.556,0.53,0.159,36.8,59.5,83.3,3.4,14.8,15.1
29,12/15/2018,MEM,,HOU,L 97-105,240,35,73,0.479,22,36,0.611,13,37,0.351,22,25,0.88,105,118.3,0.342,0.507,0.625,0.568,0.301,17.1,50.7,65.7,5.6,3.8,12.5
30,12/17/2018,MEM,@,GSW,L 93-110,240,37,85,0.435,25,54,0.463,12,31,0.387,24,27,0.889,110,110.7,0.318,0.365,0.568,0.506,0.282,13.3,50.6,62.2,10.1,9.3,9.4
31,12/19/2018,MEM,@,POR,L 92-99,240,35,75,0.467,24,49,0.49,11,26,0.423,18,20,0.9,99,111.8,0.267,0.347,0.591,0.54,0.24,32.4,54.4,45.7,10.2,7.8,20
32,12/21/2018,MEM,@,SAC,L 99-102,240,33,88,0.375,18,47,0.383,15,41,0.366,21,29,0.724,102,109.6,0.33,0.466,0.506,0.46,0.239,25,48.8,75.8,10.7,10.4,8.2
