Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,BRK,@,DET,L 100-103,240,39,92,0.424,33,68,0.485,6,24,0.25,19,22,0.864,103,103,0.239,0.261,0.506,0.457,0.207,29.2,54.1,53.8,5,9.1,12.1
2,10/19/2018,BRK,,NYK,W 107-105,240,39,97,0.402,30,69,0.435,9,28,0.321,18,20,0.9,105,112,0.206,0.289,0.496,0.448,0.186,21.8,39.6,35.9,10.7,2.2,2.8
3,10/20/2018,BRK,@,IND,L 112-132,240,51,92,0.554,35,68,0.515,16,24,0.667,14,22,0.636,132,129.5,0.239,0.261,0.649,0.641,0.152,24.4,50,41.2,11.8,10.2,9
4,10/24/2018,BRK,@,CLE,W 102-86,240,34,89,0.382,31,71,0.437,3,18,0.167,15,16,0.938,86,90.5,0.18,0.202,0.448,0.399,0.169,30.8,54.6,52.9,5.3,3.8,13.5
5,10/26/2018,BRK,@,NOP,L 115-117,240,44,98,0.449,35,75,0.467,9,23,0.391,20,26,0.769,117,114.1,0.265,0.235,0.535,0.495,0.204,28.3,46,52.3,10.7,19,9.1
6,10/28/2018,BRK,,GSW,L 114-120,240,44,89,0.494,33,56,0.589,11,33,0.333,21,24,0.875,120,120.3,0.27,0.371,0.603,0.556,0.236,27.3,56,63.6,11,15.6,10.8
7,10/29/2018,BRK,@,NYK,L 96-115,240,45,92,0.489,36,68,0.529,9,24,0.375,16,18,0.889,115,127.1,0.196,0.261,0.575,0.538,0.174,43.2,62.4,46.7,5.5,6.5,11.5
8,10/31/2018,BRK,,DET,W 120-119 (OT),265,39,93,0.419,28,59,0.475,11,34,0.324,30,39,0.769,119,108.8,0.419,0.366,0.54,0.478,0.323,27.5,50,41,7.3,9.5,12.7
9,11/2/2018,BRK,,HOU,L 111-119,240,41,83,0.494,26,44,0.591,15,39,0.385,22,32,0.688,119,128.8,0.386,0.47,0.613,0.584,0.265,27.5,51.9,53.7,4.3,19.6,8.5
10,11/4/2018,BRK,,PHI,W 122-97,240,31,65,0.477,27,45,0.6,4,20,0.2,31,41,0.756,97,95.9,0.631,0.308,0.584,0.508,0.477,28.1,54.8,51.6,5.9,1.3,24.5
11,11/6/2018,BRK,@,PHO,W 104-82,240,28,81,0.346,19,56,0.339,9,25,0.36,17,20,0.85,82,84.3,0.247,0.309,0.457,0.401,0.21,18.8,48.5,57.1,4.1,5.4,18.2
12,11/9/2018,BRK,@,DEN,W 112-110,240,40,87,0.46,35,69,0.507,5,18,0.278,25,34,0.735,110,112.5,0.391,0.207,0.539,0.489,0.287,33.3,56.3,50,3.1,9.1,10.5
13,11/10/2018,BRK,@,GSW,L 100-116,240,46,83,0.554,39,67,0.582,7,16,0.438,17,21,0.81,116,125.6,0.253,0.193,0.629,0.596,0.205,17.1,46.8,58.7,9.7,13.2,9.8
14,11/12/2018,BRK,@,MIN,L 113-120,240,42,80,0.525,32,57,0.561,10,23,0.435,26,31,0.839,120,116.1,0.388,0.288,0.641,0.588,0.325,28.1,55.3,61.9,7.7,11.8,19.7
15,11/14/2018,BRK,,MIA,L 107-120,240,46,85,0.541,38,56,0.679,8,29,0.276,20,28,0.714,120,112.2,0.329,0.341,0.617,0.588,0.235,16.7,50.5,50,5.6,8.2,14.9
16,11/16/2018,BRK,@,WAS,W 115-104,240,37,87,0.425,34,69,0.493,3,18,0.167,27,34,0.794,104,103.6,0.391,0.207,0.51,0.443,0.31,26.1,50,48.6,5,7,11.3
17,11/17/2018,BRK,,LAC,L 119-127,240,48,95,0.505,37,72,0.514,11,23,0.478,20,24,0.833,127,129.2,0.253,0.242,0.602,0.563,0.211,22,44.7,47.9,4.1,1.7,7
18,11/20/2018,BRK,@,MIA,W 104-92,240,36,100,0.36,29,68,0.426,7,32,0.219,13,20,0.65,92,94.2,0.2,0.32,0.423,0.395,0.13,31,49.5,50,5.1,10.5,11.4
19,11/21/2018,BRK,@,DAL,L 113-119,240,38,78,0.487,27,51,0.529,11,27,0.407,32,41,0.78,119,120.9,0.526,0.346,0.62,0.558,0.41,23.5,51.7,55.3,10.2,5.8,11.9
20,11/23/2018,BRK,,MIN,L 102-112,240,44,92,0.478,35,67,0.522,9,25,0.36,15,17,0.882,112,117,0.185,0.272,0.563,0.527,0.163,19.6,45.2,56.8,15.7,11.8,6.6
21,11/25/2018,BRK,,PHI,L 125-127,240,44,91,0.484,32,62,0.516,12,29,0.414,27,33,0.818,127,126.6,0.363,0.319,0.602,0.549,0.297,28.3,49.4,63.6,9,9.5,7.9
22,11/28/2018,BRK,,UTA,L 91-101,240,39,82,0.476,30,54,0.556,9,28,0.321,14,21,0.667,101,99.9,0.256,0.341,0.553,0.53,0.171,19,50,43.6,9.9,10.7,17.2
23,11/30/2018,BRK,,MEM,L 125-131 (2OT),290,50,101,0.495,38,71,0.535,12,30,0.4,19,22,0.864,131,117.3,0.218,0.297,0.592,0.554,0.188,21.6,46.9,54,7.2,12,13.3
24,12/1/2018,BRK,@,WAS,L 88-102,240,41,79,0.519,33,53,0.623,8,26,0.308,12,18,0.667,102,106.3,0.228,0.329,0.587,0.57,0.152,6.1,47.5,46.3,8.3,6.3,13
25,12/3/2018,BRK,,CLE,L 97-99,240,38,88,0.432,34,73,0.466,4,15,0.267,19,20,0.95,99,108.4,0.227,0.17,0.511,0.455,0.216,29.8,52.4,39.5,5.5,6.8,8.5
26,12/5/2018,BRK,,OKC,L 112-114,240,43,99,0.434,30,61,0.492,13,38,0.342,15,26,0.577,114,111.3,0.263,0.384,0.516,0.5,0.152,32.7,57.1,65.1,7.8,12,10.5
27,12/7/2018,BRK,,TOR,W 106-105 (OT),265,35,89,0.393,24,54,0.444,11,35,0.314,24,29,0.828,105,98.4,0.326,0.393,0.516,0.455,0.27,12,40.6,71.4,8.4,11.1,12.8
28,12/8/2018,BRK,@,NYK,W 112-104,240,39,83,0.47,31,57,0.544,8,26,0.308,18,30,0.6,104,107.5,0.361,0.313,0.541,0.518,0.217,21.4,47.1,56.4,8.3,3,11.1
29,12/12/2018,BRK,@,PHI,W 127-124,240,50,91,0.549,38,63,0.603,12,28,0.429,12,16,0.75,124,122.3,0.176,0.308,0.632,0.615,0.132,25,50,62,10.9,6.5,14.8
30,12/14/2018,BRK,,WAS,W 125-118,240,49,90,0.544,38,61,0.623,11,29,0.379,9,16,0.563,118,121.7,0.178,0.322,0.608,0.606,0.1,10,36.6,61.2,3.1,5.7,8.5
31,12/16/2018,BRK,,ATL,W 144-127,240,47,85,0.553,33,56,0.589,14,29,0.483,19,25,0.76,127,125.4,0.294,0.341,0.661,0.635,0.224,21.6,45.8,80.9,8.9,10.4,12.7
