Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/16/2018,GSW,,OKC,W 108-100,240,33,91,0.363,23,54,0.426,10,37,0.27,24,37,0.649,100,97.7,0.407,0.407,0.466,0.418,0.264,28.1,43.7,63.6,11.7,8.7,11.5
2,10/19/2018,GSW,@,UTA,W 124-123,240,40,89,0.449,21,43,0.488,19,46,0.413,24,29,0.828,123,119.4,0.326,0.517,0.604,0.556,0.27,22.2,46.9,60,10.7,5.9,13.6
3,10/21/2018,GSW,@,DEN,L 98-100,240,35,86,0.407,29,54,0.537,6,32,0.188,24,42,0.571,100,102.4,0.488,0.372,0.479,0.442,0.279,27.7,54,60,11.3,8,7.1
4,10/22/2018,GSW,,PHO,W 123-103,240,39,86,0.453,30,52,0.577,9,34,0.265,16,18,0.889,103,100.4,0.209,0.395,0.548,0.506,0.186,26.7,52.9,61.5,7.8,2,18.3
5,10/24/2018,GSW,,WAS,W 144-122,240,42,93,0.452,30,51,0.588,12,42,0.286,26,28,0.929,122,114.3,0.301,0.452,0.579,0.516,0.28,15.6,41.5,52.4,6.6,1.7,10.2
6,10/26/2018,GSW,@,NYK,W 128-100,240,39,90,0.433,26,51,0.51,13,39,0.333,9,12,0.75,100,100.3,0.133,0.433,0.525,0.506,0.1,25,50.6,43.6,6,1.9,16.6
7,10/28/2018,GSW,@,BRK,W 120-114,240,42,87,0.483,22,45,0.489,20,42,0.476,10,15,0.667,114,114.3,0.172,0.483,0.609,0.598,0.115,12.5,44,66.7,5,5.4,13.8
8,10/29/2018,GSW,@,CHI,W 149-124,240,46,94,0.489,35,59,0.593,11,35,0.314,21,34,0.618,124,118.6,0.362,0.372,0.569,0.548,0.223,22.6,47.3,54.3,5.7,5.9,7.6
9,10/31/2018,GSW,,NOP,W 131-121,240,44,92,0.478,32,57,0.561,12,35,0.343,21,27,0.778,121,115.5,0.293,0.38,0.582,0.543,0.228,26.1,47.7,54.5,7.6,3.5,12.6
10,11/2/2018,GSW,,MIN,W 116-99,240,38,101,0.376,25,56,0.446,13,45,0.289,10,14,0.714,99,98.3,0.139,0.446,0.462,0.441,0.099,14,39,65.8,7.9,7.4,4.5
11,11/5/2018,GSW,,MEM,W 117-101,240,38,83,0.458,29,56,0.518,9,27,0.333,16,21,0.762,101,106.3,0.253,0.325,0.547,0.512,0.193,9.5,39.5,81.6,8.4,14,9.8
12,11/8/2018,GSW,,MIL,L 111-134,240,52,101,0.515,43,66,0.652,9,35,0.257,21,27,0.778,134,126.2,0.267,0.347,0.594,0.559,0.208,30.2,54.8,63.5,10.4,11.9,9.6
13,11/10/2018,GSW,,BRK,W 116-100,240,36,77,0.468,29,53,0.547,7,24,0.292,21,29,0.724,100,108.3,0.377,0.312,0.557,0.513,0.273,28.6,53.2,55.6,7.6,3,13.5
14,11/12/2018,GSW,@,LAC,L 116-121 (OT),265,43,91,0.473,38,71,0.535,5,20,0.25,30,34,0.882,121,109.3,0.374,0.22,0.571,0.5,0.33,14.6,51.6,53.5,9.9,7.9,12.4
15,11/13/2018,GSW,,ATL,W 110-103,240,40,89,0.449,28,57,0.491,12,32,0.375,11,15,0.733,103,106.4,0.169,0.36,0.539,0.517,0.124,22.2,46.7,62.5,9.3,3.1,12.8
16,11/15/2018,GSW,@,HOU,L 86-107,240,35,87,0.402,19,40,0.475,16,47,0.34,21,26,0.808,107,124.6,0.299,0.54,0.543,0.494,0.241,30.4,48.2,57.1,9.3,6.9,4.8
17,11/17/2018,GSW,@,DAL,L 109-112,240,40,86,0.465,30,52,0.577,10,34,0.294,22,34,0.647,112,112.1,0.395,0.395,0.555,0.523,0.256,18.6,49.5,45,6,8.2,9
18,11/18/2018,GSW,@,SAS,L 92-104,240,41,92,0.446,31,68,0.456,10,24,0.417,12,17,0.706,104,109.6,0.185,0.261,0.523,0.5,0.13,23.4,51.1,58.5,3.2,8.3,9.1
19,11/21/2018,GSW,,OKC,L 95-123,240,51,106,0.481,38,71,0.535,13,35,0.371,8,15,0.533,123,120.3,0.142,0.33,0.546,0.542,0.075,34,59.2,56.9,9.8,9.3,8.2
20,11/23/2018,GSW,,POR,W 125-97,240,38,93,0.409,29,69,0.42,9,24,0.375,12,22,0.545,97,97.2,0.237,0.258,0.472,0.457,0.129,24.5,47.6,57.9,9,3.8,11.2
21,11/24/2018,GSW,,SAC,W 117-116,240,42,97,0.433,31,69,0.449,11,28,0.393,21,29,0.724,116,114.2,0.299,0.289,0.528,0.49,0.216,23.6,46.5,66.7,5.9,7.4,6.8
22,11/26/2018,GSW,,ORL,W 116-110,240,40,90,0.444,26,60,0.433,14,30,0.467,16,21,0.762,110,111.8,0.233,0.333,0.554,0.522,0.178,14.3,42.5,70,11.2,4.1,10
23,11/29/2018,GSW,@,TOR,L 128-131 (OT),265,47,90,0.522,32,52,0.615,15,38,0.395,22,24,0.917,131,125.3,0.267,0.422,0.651,0.606,0.244,19.4,44.6,53.2,4.8,8.2,12.2
24,12/1/2018,GSW,@,DET,L 102-111,240,43,98,0.439,31,63,0.492,12,35,0.343,13,20,0.65,111,111.9,0.204,0.357,0.52,0.5,0.133,28,51.6,51.2,8.1,3.4,9.3
25,12/3/2018,GSW,@,ATL,W 128-111,240,44,90,0.489,39,64,0.609,5,26,0.192,18,24,0.75,111,105.2,0.267,0.289,0.552,0.517,0.2,21.4,47.3,52.3,9.5,6.9,15.2
26,12/5/2018,GSW,@,CLE,W 129-105,240,39,89,0.438,28,57,0.491,11,32,0.344,16,23,0.696,105,112,0.258,0.36,0.53,0.5,0.18,24.5,47.1,43.6,7.5,3.9,9.2
27,12/7/2018,GSW,@,MIL,W 105-95,240,36,92,0.391,29,53,0.547,7,39,0.179,16,23,0.696,95,93.3,0.25,0.424,0.465,0.429,0.174,28.8,55.7,50,9.8,7,15
28,12/10/2018,GSW,,MIN,W 116-108,240,38,83,0.458,31,58,0.534,7,25,0.28,25,31,0.806,108,107.1,0.373,0.301,0.559,0.5,0.301,20.5,46.2,73.7,5,12,14.2
29,12/12/2018,GSW,,TOR,L 93-113,240,44,91,0.484,35,63,0.556,9,28,0.321,16,19,0.842,113,113.4,0.209,0.308,0.569,0.533,0.176,22.2,54.5,61.4,12,5.4,10
30,12/14/2018,GSW,@,SAC,W 130-125,240,45,96,0.469,30,52,0.577,15,44,0.341,20,25,0.8,125,111.9,0.26,0.458,0.584,0.547,0.208,13.5,41.2,73.3,5.4,5.4,10.8
31,12/17/2018,GSW,,MEM,W 110-93,240,36,79,0.456,29,54,0.537,7,25,0.28,14,18,0.778,93,93.6,0.228,0.316,0.535,0.5,0.177,5.3,49.4,66.7,6,7.4,15.5
32,12/19/2018,GSW,@,UTA,L 103-108,240,37,93,0.398,21,51,0.412,16,42,0.381,18,22,0.818,108,104,0.237,0.452,0.526,0.484,0.194,20.8,52,81.1,6.7,9.4,13.5
33,12/22/2018,GSW,,DAL,W 120-116,240,42,92,0.457,28,53,0.528,14,39,0.359,18,28,0.643,116,113.3,0.304,0.424,0.556,0.533,0.196,22,46,66.7,8.8,5.5,11.1
34,12/23/2018,GSW,,LAC,W 129-127,240,43,80,0.538,25,57,0.439,18,23,0.783,23,29,0.793,127,127.2,0.363,0.288,0.685,0.65,0.288,13.9,47.7,53.5,1,1.9,13.9
