Rk,Date,Tm,Home,Opp,Result,MP,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,ORL,,MIA,W 104-101,240,97.6,0.227,0.34,0.473,0.438,0.165,38,97,0.392,29,64,0.453,9,33,0.273,16,22,0.727,101,27.5,50.5,42.1,3.9,7.2,13
2,10/19/2018,ORL,,CHO,L 88-120,240,119,0.217,0.413,0.595,0.56,0.185,43,92,0.467,26,54,0.481,17,38,0.447,17,20,0.85,120,27.3,55.6,74.4,5.9,6.3,13
3,10/20/2018,ORL,@,PHI,L 115-116,240,121.5,0.106,0.351,0.589,0.569,0.096,45,94,0.479,28,61,0.459,17,33,0.515,9,10,0.9,116,27.1,48.4,73.3,8.4,4.9,9.2
4,10/22/2018,ORL,@,BOS,W 93-90,240,93.4,0.099,0.44,0.474,0.456,0.077,37,91,0.407,28,51,0.549,9,40,0.225,7,9,0.778,90,18,51,56.8,6.2,5.2,11.2
5,10/25/2018,ORL,,POR,L 114-128,240,133.7,0.299,0.31,0.65,0.615,0.241,48,87,0.552,37,60,0.617,11,27,0.407,21,26,0.808,128,29.3,52.4,50,6.3,10.7,9.2
6,10/27/2018,ORL,@,MIL,L 91-113,240,107.2,0.28,0.366,0.613,0.561,0.256,41,82,0.5,31,52,0.596,10,30,0.333,21,23,0.913,113,16.7,58.2,58.5,5.7,12.1,18.6
7,10/30/2018,ORL,,SAC,L 99-107,240,104.4,0.31,0.262,0.561,0.536,0.202,41,84,0.488,33,62,0.532,8,22,0.364,17,26,0.654,107,17.8,51.5,53.7,7.8,12.5,13.6
8,11/2/2018,ORL,,LAC,L 95-120,240,120.3,0.384,0.302,0.597,0.552,0.291,41,86,0.477,28,60,0.467,13,26,0.5,25,33,0.758,120,23.8,55.6,53.7,5,4.1,11.5
9,11/4/2018,ORL,@,SAS,W 117-110,240,115.5,0.284,0.398,0.556,0.5,0.25,38,88,0.432,26,53,0.491,12,35,0.343,22,25,0.88,110,23.8,50,65.8,3.2,8.5,10
10,11/5/2018,ORL,,CLE,W 102-100,240,105.1,0.15,0.288,0.586,0.575,0.1,41,80,0.513,31,57,0.544,10,23,0.435,8,12,0.667,100,21.1,51.2,48.8,8.4,3.8,17.4
11,11/7/2018,ORL,,DET,L 96-103,240,100.5,0.222,0.411,0.521,0.472,0.2,37,90,0.411,26,53,0.491,11,37,0.297,18,20,0.9,103,27.7,55.6,56.8,12.7,1.7,16.1
12,11/9/2018,ORL,,WAS,W 117-108,240,109.2,0.232,0.329,0.598,0.579,0.159,42,82,0.512,31,55,0.564,11,27,0.407,13,19,0.684,108,16.2,46.1,57.1,8.1,5.5,16.6
13,11/11/2018,ORL,@,NYK,W 115-89,240,86.1,0.341,0.318,0.44,0.381,0.25,31,88,0.352,26,60,0.433,5,28,0.179,22,30,0.733,89,23.6,50.9,41.9,3.9,26.8,15.8
14,11/12/2018,ORL,@,WAS,L 109-117,240,123.6,0.418,0.418,0.626,0.589,0.304,40,79,0.506,27,46,0.587,13,33,0.394,24,33,0.727,117,21.2,54.7,60,8.4,11.9,9.7
15,11/14/2018,ORL,,PHI,W 111-106,240,113.1,0.174,0.337,0.572,0.558,0.116,41,86,0.477,27,57,0.474,14,29,0.483,10,15,0.667,106,23.8,52.6,78,2.1,5.8,13.1
16,11/17/2018,ORL,,LAL,W 130-117,240,113,0.278,0.333,0.579,0.533,0.233,43,90,0.478,33,60,0.55,10,30,0.333,21,25,0.84,117,21.1,50,51.2,4.8,9.8,12.2
17,11/18/2018,ORL,,NYK,W 131-117,240,118.8,0.402,0.276,0.571,0.506,0.333,40,87,0.46,32,63,0.508,8,24,0.333,29,35,0.829,117,37.8,54.5,30,7.1,3.8,12
18,11/20/2018,ORL,,TOR,L 91-93,240,96.6,0.092,0.391,0.514,0.5,0.069,39,87,0.448,30,53,0.566,9,34,0.265,6,8,0.75,93,13.6,46.7,59,7.3,9.3,15
19,11/23/2018,ORL,@,DEN,L 87-112,240,116.8,0.183,0.301,0.557,0.522,0.161,44,93,0.473,35,65,0.538,9,28,0.321,15,17,0.882,112,26.7,58,75,10.4,10.6,9.9
