Rk,Date,Tm,Home,Opp,Result,MP,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,IND,,MEM,W 111-83,240,88.8,0.333,0.345,0.431,0.357,0.274,25,84,0.298,15,55,0.273,10,29,0.345,23,28,0.821,83,13.7,32.9,64,11.8,5.3,6.8
2,10/19/2018,IND,@,MIL,L 101-118,240,112.4,0.226,0.495,0.577,0.565,0.14,44,93,0.473,27,47,0.574,17,46,0.37,13,21,0.619,118,25.6,54.9,61.4,8.6,11.6,14.3
3,10/20/2018,IND,,BRK,W 132-112,240,109.9,0.256,0.43,0.585,0.57,0.163,41,86,0.477,25,49,0.51,16,37,0.432,14,22,0.636,112,23.1,50,61,5.9,8.8,17.3
4,10/22/2018,IND,@,MIN,L 91-101,240,101.7,0.282,0.388,0.528,0.465,0.259,36,85,0.424,29,52,0.558,7,33,0.212,22,24,0.917,101,19.5,51.1,66.7,9.1,18.2,13.6
5,10/24/2018,IND,@,SAS,W 116-96,240,103.3,0.241,0.218,0.499,0.437,0.23,35,87,0.402,29,68,0.426,6,19,0.316,20,21,0.952,96,30,53.5,45.7,3.2,5.5,11.9
6,10/27/2018,IND,@,CLE,W 119-107,240,116.8,0.256,0.291,0.559,0.506,0.233,40,86,0.465,33,61,0.541,7,25,0.28,20,22,0.909,107,44.4,61.9,52.5,9.8,3.3,13.6
7,10/29/2018,IND,,POR,L 93-103,240,108.1,0.231,0.333,0.599,0.551,0.218,38,78,0.487,28,52,0.538,10,26,0.385,17,18,0.944,103,24.3,58.8,50,3.1,4.2,17.3
8,10/31/2018,IND,@,NYK,W 107-101,240,107.3,0.304,0.316,0.564,0.506,0.266,34,79,0.43,22,54,0.407,12,25,0.48,21,24,0.875,101,22.5,46.1,52.9,6.4,9.5,16
9,11/2/2018,IND,@,CHI,W 107-105,240,111.5,0.101,0.348,0.565,0.545,0.09,42,89,0.472,29,58,0.5,13,31,0.419,8,9,0.889,105,25,50.6,78.6,2.1,11.9,13.1
10,11/3/2018,IND,,BOS,W 102-101,240,104.5,0.102,0.523,0.549,0.54,0.068,38,88,0.432,19,42,0.452,19,46,0.413,6,9,0.667,101,21.3,50,60.5,6.2,14.8,13.2
11,11/5/2018,IND,,HOU,L 94-98,240,105,0.211,0.618,0.59,0.546,0.197,34,76,0.447,19,29,0.655,15,47,0.319,15,16,0.938,98,13.5,50,67.6,9.6,12.8,16.2
12,11/7/2018,IND,,PHI,L 94-100,240,101.6,0.278,0.405,0.564,0.519,0.228,36,79,0.456,26,47,0.553,10,32,0.313,18,22,0.818,100,13.2,51.2,66.7,7.1,12.7,15.3
13,11/9/2018,IND,@,MIA,W 110-102,240,99.2,0.338,0.338,0.555,0.538,0.2,36,80,0.45,22,53,0.415,14,27,0.519,16,27,0.593,102,21.4,49.4,75,5.8,10.2,20
14,11/11/2018,IND,@,HOU,L 103-115,240,122.2,0.432,0.635,0.653,0.622,0.311,36,74,0.486,16,27,0.593,20,47,0.426,23,32,0.719,115,21.1,52.1,50,6.4,10.2,14.6
15,11/16/2018,IND,,MIA,W 99-91,240,91,0.108,0.387,0.467,0.452,0.075,35,93,0.376,21,57,0.368,14,36,0.389,7,10,0.7,91,23.2,52,60,10,9.3,14.1
16,11/17/2018,IND,,ATL,W 97-89,240,82.8,0.31,0.333,0.45,0.402,0.218,31,87,0.356,23,58,0.397,8,29,0.276,19,27,0.704,89,10.4,43.6,64.5,14,10.5,15.4
17,11/19/2018,IND,,UTA,W 121-94,240,97.9,0.216,0.338,0.58,0.561,0.149,36,74,0.486,25,49,0.51,11,25,0.44,11,16,0.688,94,8.3,45,72.2,6.2,14.7,18.2
18,11/21/2018,IND,@,CHO,L 109-127,240,135.6,0.275,0.363,0.708,0.675,0.238,45,80,0.563,27,51,0.529,18,29,0.621,19,22,0.864,127,18.2,49.3,66.7,7.5,5.9,11.8
19,11/23/2018,IND,,SAS,L 100-111,240,111,0.289,0.253,0.593,0.566,0.205,42,83,0.506,32,62,0.516,10,21,0.476,17,24,0.708,111,20.9,50.5,66.7,3,5.3,13.8
20,11/26/2018,IND,@,UTA,W 121-88,240,89.9,0.21,0.383,0.497,0.469,0.148,34,81,0.42,26,50,0.52,8,31,0.258,12,17,0.706,88,22.2,49.4,73.5,10.2,6.1,16.1
21,11/27/2018,IND,@,PHO,W 109-104,240,110.2,0.196,0.326,0.52,0.5,0.13,41,92,0.446,31,62,0.5,10,30,0.333,12,18,0.667,104,24,45,48.8,8.5,9.4,7.4
