Rk,Date,Tm,Home,Opp,Result,MP,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,DAL,@,PHO,L 100-121,240,130.6,0.198,0.42,0.687,0.66,0.173,44,81,0.543,25,47,0.532,19,34,0.559,14,16,0.875,121,17.6,53.7,79.5,5.4,3.6,11.1
2,10/20/2018,DAL,,MIN,W 140-136,240,124.7,0.476,0.321,0.669,0.607,0.405,44,84,0.524,30,57,0.526,14,27,0.519,34,40,0.85,136,18.2,44,52.3,9.2,6.3,14.3
3,10/22/2018,DAL,,CHI,W 115-109,240,110.6,0.263,0.288,0.611,0.594,0.175,41,80,0.513,28,57,0.491,13,23,0.565,14,21,0.667,109,20,45.3,43.9,6.1,8.7,17.6
4,10/24/2018,DAL,@,ATL,L 104-111,240,102.7,0.341,0.418,0.53,0.489,0.242,37,91,0.407,22,53,0.415,15,38,0.395,22,31,0.71,111,18.9,50.9,75.7,5.5,11.8,12.5
5,10/26/2018,DAL,@,TOR,L 107-116,240,115.2,0.22,0.297,0.581,0.544,0.187,44,91,0.484,33,64,0.516,11,27,0.407,17,20,0.85,116,26.1,53.2,52.3,9.9,8.1,10.7
6,10/28/2018,DAL,,UTA,L 104-113,240,114.2,0.275,0.313,0.63,0.588,0.238,42,80,0.525,32,55,0.582,10,25,0.4,19,22,0.864,113,20.5,50,59.5,8.1,9.5,16.7
7,10/29/2018,DAL,@,SAS,L 108-113 (OT),265,102.2,0.231,0.22,0.564,0.511,0.22,42,91,0.462,33,71,0.465,9,20,0.45,20,21,0.952,113,10.9,45.6,64.3,15.4,3.5,14.5
8,10/31/2018,DAL,@,LAL,L 113-114,240,108.7,0.286,0.202,0.603,0.571,0.214,43,84,0.512,33,67,0.493,10,17,0.588,18,24,0.75,114,21.1,49.4,53.5,11.4,10.5,17.5
9,11/2/2018,DAL,,NYK,L 106-118,240,122.4,0.31,0.345,0.618,0.589,0.226,46,84,0.548,39,55,0.709,7,29,0.241,19,26,0.731,118,25.6,50,56.5,13.5,7.7,11.2
10,11/6/2018,DAL,,WAS,W 119-100,240,101.8,0.23,0.402,0.522,0.489,0.172,37,87,0.425,26,52,0.5,11,35,0.314,15,20,0.75,100,11.1,39,73,8.1,12.5,9.5
11,11/7/2018,DAL,@,UTA,L 102-117,240,116.9,0.292,0.416,0.582,0.556,0.202,43,89,0.483,30,52,0.577,13,37,0.351,18,26,0.692,117,17.8,41.7,72.1,12,20.4,9.9
12,11/10/2018,DAL,,OKC,W 111-96,240,102.2,0.186,0.351,0.457,0.438,0.113,38,97,0.392,29,63,0.46,9,34,0.265,11,18,0.611,96,43.3,58.2,44.7,9.6,4.2,13.2
13,11/12/2018,DAL,@,CHI,W 103-98,240,94.2,0.247,0.371,0.497,0.438,0.225,35,89,0.393,27,56,0.482,8,33,0.242,20,22,0.909,98,16,47.9,45.7,10.6,6.5,14.7
14,11/14/2018,DAL,,UTA,W 118-68,240,68.5,0.235,0.432,0.38,0.346,0.148,25,81,0.309,19,46,0.413,6,35,0.171,12,19,0.632,68,15.4,39.3,64,11.1,6.1,19
15,11/17/2018,DAL,,GSW,W 112-109,240,109.1,0.181,0.351,0.537,0.495,0.17,42,94,0.447,33,61,0.541,9,33,0.273,16,17,0.941,109,24,50.5,57.1,6,11.5,10.6
16,11/19/2018,DAL,@,MEM,L 88-98,240,103,0.177,0.38,0.575,0.544,0.152,37,79,0.468,25,49,0.51,12,30,0.4,12,14,0.857,98,12.2,51.1,78.4,8.4,19.6,15
17,11/21/2018,DAL,,BRK,W 119-113,240,114.8,0.223,0.447,0.547,0.521,0.16,42,94,0.447,28,52,0.538,14,42,0.333,15,21,0.714,113,30.2,48.3,54.8,8.1,3.9,11.9
18,11/24/2018,DAL,,BOS,W 113-104,240,106.7,0.151,0.326,0.567,0.535,0.14,41,86,0.477,31,58,0.534,10,28,0.357,12,13,0.923,104,23.1,49.4,46.3,8.2,6.5,15.6
19,11/28/2018,DAL,@,HOU,W 128-108,240,113.6,0.264,0.517,0.556,0.534,0.172,40,87,0.46,27,42,0.643,13,45,0.289,15,23,0.652,108,35.7,50.7,70,10.5,9.8,14.1
