Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,HOU,,NOP,L 112-131,240,52,98,0.531,42,73,0.575,10,25,0.4,17,22,0.773,131,127.2,0.224,0.255,0.608,0.582,0.173,32.6,59.3,69.2,7.8,6.8,10
2,10/20/2018,HOU,@,LAL,W 124-115,240,48,100,0.48,40,68,0.588,8,32,0.25,11,18,0.611,115,106.4,0.18,0.32,0.533,0.52,0.11,18,44.9,58.3,7.4,18.5,8.5
3,10/21/2018,HOU,@,LAC,L 112-115,240,42,89,0.472,37,64,0.578,5,25,0.2,26,26,1,115,116.3,0.292,0.281,0.572,0.5,0.292,29.3,58.3,52.4,8.1,13,11.5
4,10/24/2018,HOU,,UTA,L 89-100,240,34,78,0.436,24,49,0.49,10,29,0.345,22,28,0.786,100,104.9,0.359,0.372,0.554,0.5,0.282,26.5,57.3,61.8,7.3,10.6,16.6
5,10/26/2018,HOU,,LAC,L 113-133,240,43,79,0.544,31,56,0.554,12,23,0.522,35,38,0.921,133,129.6,0.481,0.291,0.695,0.62,0.443,16.1,51.2,39.5,7.8,7,13.5
6,10/30/2018,HOU,,POR,L 85-104,240,38,80,0.475,30,60,0.5,8,20,0.4,20,23,0.87,104,108.4,0.288,0.25,0.577,0.525,0.25,19.4,51,44.7,4.2,7.5,15.9
7,11/2/2018,HOU,@,BRK,W 119-111,240,42,85,0.494,27,51,0.529,15,34,0.441,12,20,0.6,111,120.1,0.235,0.4,0.592,0.582,0.141,23.1,48.1,52.4,5.4,9.1,9.6
8,11/3/2018,HOU,@,CHI,W 96-88,240,28,71,0.394,22,48,0.458,6,23,0.261,26,27,0.963,88,91.1,0.38,0.324,0.531,0.437,0.366,10.3,45.1,53.6,13.5,9.8,18.6
9,11/5/2018,HOU,@,IND,W 98-94,240,33,75,0.44,25,47,0.532,8,28,0.286,20,30,0.667,94,100.7,0.4,0.373,0.533,0.493,0.267,17.1,50,51.5,8.6,10.3,14.5
10,11/8/2018,HOU,@,OKC,L 80-98,240,36,81,0.444,27,44,0.614,9,37,0.243,17,24,0.708,98,110,0.296,0.457,0.535,0.5,0.21,32.5,57.1,50,11.2,10,13.3
11,11/10/2018,HOU,@,SAS,L 89-96,240,33,74,0.446,23,54,0.426,10,20,0.5,20,27,0.741,96,105,0.365,0.27,0.559,0.514,0.27,19,48.4,51.5,3.3,10.2,14.9
12,11/11/2018,HOU,,IND,W 115-103,240,36,78,0.462,25,49,0.51,11,29,0.379,20,26,0.769,103,109.4,0.333,0.372,0.576,0.532,0.256,14.3,47.9,66.7,10.6,22.2,12.7
13,11/13/2018,HOU,@,DEN,W 109-99,240,38,76,0.5,27,51,0.529,11,25,0.44,12,16,0.75,99,111,0.211,0.329,0.596,0.572,0.158,21.2,49.2,71.1,12.3,5.9,16.2
