Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
14,11/15/2018,HOU,,GSW,W 107-86,240,32,76,0.421,28,58,0.483,4,18,0.222,18,22,0.818,86,100.1,0.289,0.237,0.502,0.447,0.237,30.8,51.8,56.3,2.3,12.5,15.7
15,11/17/2018,HOU,,SAC,W 132-112,240,46,102,0.451,35,67,0.522,11,35,0.314,9,12,0.75,112,106.6,0.118,0.343,0.522,0.505,0.088,27.1,48.8,50,9.5,8.8,11.5
16,11/21/2018,HOU,,DET,W 126-124,240,40,85,0.471,24,51,0.471,16,34,0.471,28,37,0.757,124,127.1,0.435,0.4,0.612,0.565,0.329,32.6,50.7,50,8.2,2.6,13.6
17,11/23/2018,HOU,@,DET,L 111-116 (OT),265,40,88,0.455,33,61,0.541,7,27,0.259,29,40,0.725,116,116,0.455,0.307,0.549,0.494,0.33,34.1,52.7,45,11,8.1,11
18,11/24/2018,HOU,@,CLE,L 108-117,240,44,90,0.489,37,68,0.544,7,22,0.318,22,29,0.759,117,126.9,0.322,0.244,0.569,0.528,0.244,46.5,61.3,34.1,11.9,5.7,11.2
19,11/26/2018,HOU,@,WAS,L 131-135 (OT),265,50,89,0.562,39,60,0.65,11,29,0.379,24,32,0.75,135,127.9,0.36,0.326,0.655,0.624,0.27,23.1,44.2,58,6.6,14.3,11.2
20,11/28/2018,HOU,,DAL,L 108-128,240,46,85,0.541,29,51,0.569,17,34,0.5,19,24,0.792,128,134.6,0.282,0.4,0.67,0.641,0.224,30.3,49.3,58.7,10.5,16.7,12.8
21,11/30/2018,HOU,@,SAS,W 136-105,240,39,86,0.453,29,58,0.5,10,28,0.357,17,20,0.85,105,108.9,0.233,0.326,0.554,0.512,0.198,20,45.6,61.5,4.1,9.1,12.1
22,12/1/2018,HOU,,CHI,W 121-105,240,39,88,0.443,31,56,0.554,8,32,0.25,19,24,0.792,105,101.8,0.273,0.364,0.533,0.489,0.216,14.6,46.6,38.5,10.7,14,11.7
23,12/3/2018,HOU,@,MIN,L 91-103,240,36,82,0.439,25,60,0.417,11,22,0.5,20,28,0.714,103,111.9,0.341,0.268,0.546,0.506,0.244,32.5,55.3,61.1,12,20,12.9
24,12/6/2018,HOU,@,UTA,L 91-118,240,45,89,0.506,37,57,0.649,8,32,0.25,20,27,0.741,118,118.4,0.303,0.36,0.585,0.551,0.225,29.3,52.2,57.8,16.1,7.7,10.6
25,12/8/2018,HOU,@,DAL,L 104-107,240,41,83,0.494,29,53,0.547,12,30,0.4,13,16,0.813,107,119.4,0.193,0.361,0.594,0.566,0.157,35,55,51.2,10,7.7,14.3
26,12/11/2018,HOU,,POR,W 111-104,240,38,87,0.437,28,62,0.452,10,25,0.4,18,21,0.857,104,113.3,0.241,0.287,0.54,0.494,0.207,30.2,51.2,52.6,1.1,7.1,12.7
