Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,MIA,@,ORL,L 101-104,240,39,94,0.415,32,69,0.464,7,25,0.28,19,31,0.613,104,100.5,0.33,0.266,0.483,0.452,0.202,26.9,49.5,51.3,6.8,10.9,10
2,10/18/2018,MIA,@,WAS,W 113-112,240,38,81,0.469,31,55,0.564,7,26,0.269,29,39,0.744,112,109.9,0.481,0.321,0.57,0.512,0.358,17.5,42.1,50,6.9,24.2,12.5
3,10/20/2018,MIA,,CHO,L 112-113,240,41,93,0.441,25,51,0.49,16,42,0.381,15,23,0.652,113,113.6,0.247,0.452,0.548,0.527,0.161,24.5,44.9,56.1,6,21.8,9.6
4,10/24/2018,MIA,,NYK,W 110-87,240,33,91,0.363,21,58,0.362,12,33,0.364,9,14,0.643,87,87.4,0.154,0.363,0.448,0.429,0.099,17.5,46.9,60.6,5,5.7,11
5,10/27/2018,MIA,,POR,W 120-111,240,37,88,0.42,25,55,0.455,12,33,0.364,25,28,0.893,111,111.2,0.318,0.375,0.553,0.489,0.284,16.7,42.9,37.8,7,14,8.2
6,10/29/2018,MIA,,SAC,L 113-123,240,48,97,0.495,36,71,0.507,12,26,0.462,15,25,0.6,123,113,0.258,0.268,0.569,0.557,0.155,18.8,46.9,58.3,7.3,15.1,10
7,10/30/2018,MIA,@,CHO,L 113-125,240,44,81,0.543,31,53,0.585,13,28,0.464,24,29,0.828,125,127.4,0.358,0.346,0.667,0.623,0.296,25,53.4,61.4,7.1,8.5,13
8,11/3/2018,MIA,@,ATL,L 118-123,240,46,88,0.523,33,56,0.589,13,32,0.406,18,23,0.783,123,122.4,0.261,0.364,0.627,0.597,0.205,22.2,47.4,71.7,10.9,15.6,14
9,11/5/2018,MIA,@,DET,W 120-115 (OT),265,43,105,0.41,32,70,0.457,11,35,0.314,18,28,0.643,115,100.3,0.267,0.333,0.49,0.462,0.171,33.9,54.5,62.8,7,4.5,13.9
10,11/7/2018,MIA,,SAS,W 95-88,240,31,94,0.33,18,62,0.29,13,32,0.406,13,14,0.929,88,90.7,0.149,0.34,0.439,0.399,0.138,20.7,45,61.3,8.2,8.2,10.7
11,11/9/2018,MIA,,IND,L 102-110,240,43,79,0.544,36,59,0.61,7,20,0.35,17,29,0.586,110,106.9,0.367,0.253,0.599,0.589,0.215,17.1,50.6,46.5,9.7,9.4,16.4
12,11/10/2018,MIA,,WAS,L 110-116,240,40,83,0.482,32,61,0.525,8,22,0.364,28,38,0.737,116,118.2,0.458,0.265,0.582,0.53,0.337,40,55.8,35,8.2,9.1,13.1
13,11/12/2018,MIA,,PHI,L 114-124,240,39,83,0.47,24,47,0.511,15,36,0.417,31,39,0.795,124,128.5,0.47,0.434,0.619,0.56,0.373,23.8,51.2,61.5,5.2,0,8.2
14,11/14/2018,MIA,@,BRK,W 120-107,240,41,101,0.406,33,73,0.452,8,28,0.286,17,24,0.708,107,100.1,0.238,0.277,0.48,0.446,0.168,28.1,49.5,41.5,9.4,3.6,11.9
15,11/16/2018,MIA,@,IND,L 91-99,240,36,81,0.444,22,54,0.407,14,27,0.519,13,15,0.867,99,99,0.185,0.333,0.565,0.531,0.16,9.5,48,61.1,10,10.5,17.8
16,11/18/2018,MIA,,LAL,L 97-113,240,42,95,0.442,31,68,0.456,11,27,0.407,18,21,0.857,113,119.4,0.221,0.284,0.542,0.5,0.189,28,51,38.1,7.4,9.1,7.9
17,11/20/2018,MIA,,BRK,L 92-104,240,38,88,0.432,30,57,0.526,8,31,0.258,20,26,0.769,104,106.5,0.295,0.352,0.523,0.477,0.227,27.7,50.5,44.7,6.1,5.9,10
18,11/23/2018,MIA,@,CHI,W 103-96,240,35,94,0.372,28,66,0.424,7,28,0.25,19,20,0.95,96,92.5,0.213,0.298,0.467,0.41,0.202,22.4,51.5,65.7,7.7,11.3,14.2
19,11/25/2018,MIA,@,TOR,L 115-125,240,47,90,0.522,36,55,0.655,11,35,0.314,20,25,0.8,125,130.3,0.278,0.389,0.619,0.583,0.222,27.5,50.5,53.2,4.2,11.9,8.2
20,11/27/2018,MIA,,ATL,L 113-115,240,38,80,0.475,26,49,0.531,12,31,0.387,27,32,0.844,115,107.8,0.4,0.388,0.611,0.55,0.338,23.8,51.7,57.9,12.2,14.3,20.3
21,11/30/2018,MIA,,NOP,W 106-101,240,35,82,0.427,29,54,0.537,6,28,0.214,25,29,0.862,101,104,0.354,0.341,0.533,0.463,0.305,25,50,71.4,4.1,13.3,14.4
22,12/2/2018,MIA,,UTA,W 102-100,240,39,89,0.438,28,56,0.5,11,33,0.333,11,15,0.733,100,102.7,0.169,0.371,0.523,0.5,0.124,21.7,50,53.8,8.2,10,12
23,12/4/2018,MIA,,ORL,L 90-105,240,38,86,0.442,24,58,0.414,14,28,0.5,15,20,0.75,105,116.2,0.233,0.326,0.554,0.523,0.174,26.2,47.8,57.9,5.5,7.1,10.4
24,12/7/2018,MIA,@,PHO,W 115-98,240,36,79,0.456,22,45,0.489,14,34,0.412,12,16,0.75,98,98.3,0.203,0.43,0.57,0.544,0.152,10.5,51.2,75,7,8.2,18.9
25,12/8/2018,MIA,@,LAC,W 121-98,240,33,89,0.371,26,60,0.433,7,29,0.241,25,31,0.806,98,94.9,0.348,0.326,0.477,0.41,0.281,23.2,46.2,48.5,4.8,15.1,13.5
