Rk,Date,Tm,Home,Opp,Result,MP,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/18/2018,POR,,LAL,W 128-119,240,107,0.312,0.323,0.563,0.522,0.237,45,93,0.484,38,63,0.603,7,30,0.233,22,29,0.759,119,16.7,46,51.1,9,9.5,12.4
2,10/20/2018,POR,,SAS,W 121-108,240,115.2,0.14,0.3,0.509,0.485,0.11,42,100,0.42,29,70,0.414,13,30,0.433,11,14,0.786,108,28.3,46.5,69,5.3,7.7,5.3
3,10/22/2018,POR,,WAS,L 124-125 (OT),265,105.4,0.236,0.336,0.515,0.486,0.164,46,110,0.418,31,73,0.425,15,37,0.405,18,26,0.692,125,18.5,43.5,50,5.1,10.1,7.6
4,10/25/2018,POR,@,ORL,W 128-114,240,119.1,0.233,0.349,0.601,0.57,0.186,43,86,0.5,31,56,0.554,12,30,0.4,16,20,0.8,114,25.6,47.6,67.4,5.2,11.7,12.9
5,10/27/2018,POR,@,MIA,L 111-120,240,120.2,0.271,0.406,0.558,0.536,0.177,44,96,0.458,29,57,0.509,15,39,0.385,17,26,0.654,120,32,57.1,47.7,7,14.5,10
6,10/29/2018,POR,@,IND,W 103-93,240,97.6,0.222,0.211,0.471,0.444,0.144,37,90,0.411,31,71,0.437,6,19,0.316,13,20,0.65,93,14.6,41.2,51.4,8.4,9.6,7.5
7,10/30/2018,POR,@,HOU,W 104-85,240,88.6,0.24,0.448,0.4,0.375,0.135,31,96,0.323,21,53,0.396,10,43,0.233,13,23,0.565,85,31.3,49,58.1,7.3,15,9.4
8,11/1/2018,POR,,NOP,W 132-119,240,113.9,0.394,0.309,0.54,0.468,0.33,40,94,0.426,32,65,0.492,8,29,0.276,31,37,0.838,119,26.9,48.9,57.5,6.7,5.8,9.8
9,11/3/2018,POR,,LAL,L 110-114,240,105.8,0.291,0.244,0.588,0.57,0.186,45,86,0.523,37,65,0.569,8,21,0.381,16,25,0.64,114,20.9,50,44.4,8.3,15.9,17.1
10,11/4/2018,POR,,MIN,W 111-81,240,84.4,0.226,0.323,0.396,0.349,0.172,29,93,0.312,22,63,0.349,7,30,0.233,16,21,0.762,81,21,36.5,62.1,9.4,6.9,9.7
11,11/6/2018,POR,,MIL,W 118-103,240,110,0.087,0.457,0.539,0.522,0.076,40,92,0.435,24,50,0.48,16,42,0.381,7,8,0.875,103,23.1,45.2,65,2.1,2.1,10.3
12,11/8/2018,POR,,LAC,W 116-105,240,109,0.225,0.258,0.537,0.506,0.169,41,89,0.461,33,66,0.5,8,23,0.348,15,20,0.75,105,15.2,43.6,46.3,2.1,14.1,6.7
13,11/11/2018,POR,,BOS,W 100-94,240,98.7,0.108,0.452,0.483,0.462,0.086,36,93,0.387,22,51,0.431,14,42,0.333,8,10,0.8,94,21.6,43.3,52.8,11.6,10,11
