Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
12,11/10/2018,LAC,,MIL,W 128-126 (OT),265,47,105,0.448,31,59,0.525,16,46,0.348,16,23,0.696,126,109.5,0.219,0.438,0.547,0.524,0.152,25.4,49.1,66,9.6,12.3,12.9
13,11/12/2018,LAC,,GSW,W 121-116 (OT),265,44,94,0.468,32,63,0.508,12,31,0.387,16,23,0.696,116,104.8,0.245,0.33,0.557,0.532,0.17,20.4,48.4,61.4,6.3,11.3,14
14,11/15/2018,LAC,,SAS,W 116-111,240,41,102,0.402,32,73,0.438,9,29,0.31,20,25,0.8,111,111.3,0.245,0.284,0.491,0.446,0.196,26.8,47.4,46.3,7,9.7,4.2
15,11/17/2018,LAC,@,BRK,W 127-119,240,40,88,0.455,27,60,0.45,13,28,0.464,26,34,0.765,119,121,0.386,0.318,0.578,0.528,0.295,34.1,55.3,62.5,4.1,6.9,9.7
16,11/19/2018,LAC,@,ATL,W 127-119,240,45,101,0.446,33,63,0.524,12,38,0.316,17,19,0.895,119,111.1,0.188,0.376,0.544,0.505,0.168,30.2,49.5,64.4,5.6,10,11.3
17,11/20/2018,LAC,@,WAS,L 118-125,240,40,93,0.43,27,54,0.5,13,39,0.333,32,39,0.821,125,120.3,0.419,0.419,0.567,0.5,0.344,22.9,50,67.5,10.6,12.9,6
18,11/23/2018,LAC,,MEM,W 112-107 (OT),265,42,92,0.457,33,65,0.508,9,27,0.333,14,18,0.778,107,99.7,0.196,0.293,0.535,0.505,0.152,13,49.5,69,5.6,9.9,13.8
19,11/25/2018,LAC,@,POR,W 104-100,240,42,97,0.433,34,59,0.576,8,38,0.211,8,10,0.8,100,104.6,0.103,0.392,0.493,0.474,0.082,30.2,54.7,42.9,2.1,7.7,10.6
20,11/28/2018,LAC,,PHO,W 115-99,240,39,89,0.438,31,63,0.492,8,26,0.308,13,18,0.722,99,97.1,0.202,0.292,0.511,0.483,0.146,15.6,37.8,51.3,16.7,9.2,14.2
21,11/29/2018,LAC,@,SAC,W 133-121,240,46,96,0.479,39,72,0.542,7,24,0.292,22,26,0.846,121,120.7,0.271,0.25,0.563,0.516,0.229,34.8,55.8,56.5,4,3.2,9.3
22,12/2/2018,LAC,@,DAL,L 110-114,240,42,95,0.442,34,72,0.472,8,23,0.348,22,26,0.846,114,109.2,0.274,0.242,0.536,0.484,0.232,32.1,59.3,47.6,5.7,7,13.1
23,12/3/2018,LAC,@,NOP,W 129-126,240,49,92,0.533,36,58,0.621,13,34,0.382,15,22,0.682,126,128.6,0.239,0.37,0.62,0.603,0.163,23.8,47.3,65.3,10.2,7.9,6.4
24,12/5/2018,LAC,@,MEM,L 86-96,240,37,85,0.435,30,57,0.526,7,28,0.25,15,24,0.625,96,100.1,0.282,0.329,0.502,0.476,0.176,23.4,51,48.6,9.4,11.8,13.6
25,12/8/2018,LAC,,MIA,L 98-121,240,40,92,0.435,27,53,0.509,13,39,0.333,28,39,0.718,121,117.2,0.424,0.424,0.554,0.505,0.304,28,53.8,67.5,8.7,10,9.2
26,12/10/2018,LAC,@,PHO,W 123-119 (OT),265,47,94,0.5,38,69,0.551,9,25,0.36,16,20,0.8,119,113.1,0.213,0.266,0.579,0.548,0.17,23.8,48.8,66,13.3,12.5,12.7
27,12/11/2018,LAC,,TOR,L 99-123,240,50,96,0.521,36,67,0.537,14,29,0.483,9,12,0.75,123,128.8,0.125,0.302,0.607,0.594,0.094,23.8,49.4,68,8.4,9.8,6.5
28,12/13/2018,LAC,@,SAS,L 87-125,240,48,83,0.578,38,61,0.623,10,22,0.455,19,24,0.792,125,130.4,0.289,0.265,0.668,0.639,0.229,21.6,52.8,52.1,10.4,13.2,10.5
29,12/15/2018,LAC,@,OKC,L 104-110,240,42,90,0.467,33,68,0.485,9,22,0.409,17,24,0.708,110,107.8,0.267,0.244,0.547,0.517,0.189,19.1,47.6,61.9,12.7,14,9.9
30,12/17/2018,LAC,,POR,L 127-131,240,47,86,0.547,37,66,0.561,10,20,0.5,27,31,0.871,131,130.5,0.36,0.233,0.657,0.605,0.314,17.1,47.1,55.3,5,7.1,9.9
31,12/20/2018,LAC,,DAL,W 125-121,240,43,92,0.467,33,64,0.516,10,28,0.357,25,33,0.758,121,124.5,0.359,0.304,0.568,0.522,0.272,35.6,52.9,55.8,8.2,0,9.4
32,12/22/2018,LAC,,DEN,W 132-111,240,41,97,0.423,32,66,0.485,9,31,0.29,20,25,0.8,111,110.3,0.258,0.32,0.514,0.469,0.206,23.2,39.8,51.2,9.9,6.9,7.7
33,12/23/2018,LAC,@,GSW,L 127-129,240,42,93,0.452,28,53,0.528,14,40,0.35,31,36,0.861,129,129.2,0.387,0.43,0.593,0.527,0.333,28.8,52.3,52.4,9,12.3,6
34,12/26/2018,LAC,,SAC,W 127-118,240,49,104,0.471,39,74,0.527,10,30,0.333,10,15,0.667,118,112.6,0.144,0.288,0.533,0.519,0.096,25,46.2,53.1,7.6,14.7,10.5
