Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,LAC,,DEN,L 98-107,240,33,87,0.379,25,63,0.397,8,24,0.333,33,42,0.786,107,108.2,0.483,0.276,0.507,0.425,0.379,26.9,54.4,60.6,6.1,15,8.7
2,10/19/2018,LAC,,OKC,W 108-92,240,34,95,0.358,27,62,0.435,7,33,0.212,17,23,0.739,92,93.6,0.242,0.347,0.438,0.395,0.179,28.3,52,52.9,5.1,7.3,10.2
3,10/21/2018,LAC,,HOU,W 115-112,240,43,89,0.483,28,54,0.519,15,35,0.429,11,15,0.733,112,113.2,0.169,0.393,0.586,0.567,0.124,14,41.7,65.1,6.1,9.4,11.2
4,10/23/2018,LAC,@,NOP,L 109-116,240,40,93,0.43,34,69,0.493,6,24,0.25,30,40,0.75,116,111.9,0.43,0.258,0.524,0.462,0.323,24,50.5,55,11.6,11.9,6.7
5,10/26/2018,LAC,@,HOU,W 133-113,240,38,98,0.388,23,57,0.404,15,41,0.366,22,25,0.88,113,110.1,0.255,0.418,0.518,0.464,0.224,29.1,48.8,55.3,10.7,12.5,10.7
6,10/28/2018,LAC,,WAS,W 136-104,240,38,97,0.392,33,70,0.471,5,27,0.185,23,28,0.821,104,97.5,0.289,0.278,0.476,0.418,0.237,24.6,44.1,47.4,6.6,4.1,11.4
7,10/30/2018,LAC,@,OKC,L 110-128,240,48,94,0.511,39,77,0.506,9,17,0.529,23,32,0.719,128,116.6,0.34,0.181,0.592,0.559,0.245,22,51.9,39.6,14.6,11.1,12.2
8,11/1/2018,LAC,@,PHI,L 113-122,240,44,93,0.473,31,66,0.47,13,27,0.481,21,28,0.75,122,114.3,0.301,0.29,0.579,0.543,0.226,22.7,50.6,65.9,6.6,11.1,11.7
9,11/2/2018,LAC,@,ORL,W 120-95,240,40,90,0.444,36,73,0.493,4,17,0.235,11,19,0.579,95,95.3,0.211,0.189,0.483,0.467,0.122,16.7,44.4,50,7,6.7,9.2
10,11/5/2018,LAC,,MIN,W 120-109,240,40,85,0.471,35,64,0.547,5,21,0.238,24,30,0.8,109,113.5,0.353,0.247,0.555,0.5,0.282,21.1,46.9,50,9.4,14,10.1
11,11/8/2018,LAC,@,POR,L 105-116,240,40,97,0.412,30,71,0.423,10,26,0.385,26,28,0.929,116,120.5,0.289,0.268,0.531,0.464,0.268,29.2,56.4,45,4.2,12.1,5.2
