Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
12,11/9/2018,SAC,,MIN,W 121-110,240,39,94,0.415,32,69,0.464,7,25,0.28,25,31,0.806,110,104.1,0.33,0.266,0.511,0.452,0.266,28.8,51.5,51.3,5.7,1.6,13.6
13,11/10/2018,SAC,,LAL,L 86-101,240,41,99,0.414,29,61,0.475,12,38,0.316,7,17,0.412,101,99,0.172,0.384,0.474,0.475,0.071,31.5,54.1,56.1,10.8,4.5,11.6
14,11/12/2018,SAC,,SAS,W 104-99,240,38,87,0.437,28,56,0.5,10,31,0.323,13,16,0.813,99,102.4,0.184,0.356,0.526,0.494,0.149,19.1,48.9,65.8,5.2,6.5,13.8
15,11/16/2018,SAC,@,MEM,L 104-112,240,43,85,0.506,32,60,0.533,11,25,0.44,15,24,0.625,112,113,0.282,0.294,0.586,0.571,0.176,21.4,48.8,55.8,11.1,10.6,12
16,11/17/2018,SAC,@,HOU,L 112-132,240,46,81,0.568,26,34,0.765,20,47,0.426,20,24,0.833,132,125.6,0.296,0.58,0.721,0.691,0.247,18.8,51.3,58.7,8.6,14.9,19.4
17,11/19/2018,SAC,,OKC,W 117-113,240,45,108,0.417,33,67,0.493,12,41,0.293,11,16,0.688,113,102.6,0.148,0.38,0.491,0.472,0.102,22.4,47.3,48.9,7.3,4.7,10.2
18,11/21/2018,SAC,@,UTA,W 119-110,240,38,88,0.432,26,49,0.531,12,39,0.308,22,31,0.71,110,111.6,0.352,0.443,0.541,0.5,0.25,23.1,48.9,55.3,7.1,10.9,9
19,11/24/2018,SAC,@,GSW,L 116-117,240,41,88,0.466,31,54,0.574,10,34,0.294,25,29,0.862,117,115.2,0.33,0.386,0.581,0.523,0.284,26.1,53.5,68.3,4.9,8.7,12.2
20,11/25/2018,SAC,,UTA,L 112-133,240,49,92,0.533,39,62,0.629,10,30,0.333,25,33,0.758,133,123.4,0.359,0.326,0.624,0.587,0.272,31,57.6,61.2,10.2,8.1,14.5
21,11/29/2018,SAC,,LAC,L 121-133,240,50,90,0.556,38,62,0.613,12,28,0.429,21,28,0.75,133,132.7,0.311,0.311,0.65,0.622,0.233,20,44.2,50,7,6.9,8.1
22,12/1/2018,SAC,,IND,W 111-110,240,43,82,0.524,33,58,0.569,10,24,0.417,14,18,0.778,110,103.2,0.22,0.293,0.612,0.585,0.171,15.8,47.7,74.4,10.3,8.1,21.8
23,12/4/2018,SAC,@,PHO,W 122-105,240,38,87,0.437,26,44,0.591,12,43,0.279,17,21,0.81,105,104.1,0.241,0.494,0.546,0.506,0.195,28.3,50.6,71.1,8.9,6.7,17.9
24,12/7/2018,SAC,@,CLE,W 129-110,240,43,81,0.531,33,55,0.6,10,26,0.385,14,19,0.737,110,113.6,0.235,0.321,0.615,0.593,0.173,21.9,50,46.5,4.1,0,15.2
25,12/8/2018,SAC,@,IND,L 97-107,240,40,92,0.435,32,62,0.516,8,30,0.267,19,22,0.864,107,110.9,0.239,0.326,0.526,0.478,0.207,32.6,54.7,65,7.3,13.8,12.9
26,12/10/2018,SAC,@,CHI,W 108-89,240,34,76,0.447,26,48,0.542,8,28,0.286,13,13,1,89,89.8,0.171,0.368,0.545,0.5,0.171,17.9,48.8,47.1,10.1,5.9,24.8
27,12/12/2018,SAC,,MIN,W 141-130,240,50,93,0.538,41,71,0.577,9,22,0.409,21,27,0.778,130,129.7,0.29,0.237,0.62,0.586,0.226,29.3,50.6,60,4,8.3,9.5
28,12/14/2018,SAC,,GSW,L 125-130,240,44,96,0.458,29,56,0.518,15,40,0.375,27,36,0.75,130,116.4,0.375,0.417,0.581,0.536,0.281,30,58.8,72.7,4.5,0,13.9
29,12/16/2018,SAC,@,DAL,W 120-113,240,40,96,0.417,31,61,0.508,9,35,0.257,24,31,0.774,113,109.4,0.323,0.365,0.515,0.464,0.25,30.8,53,55,5.8,7.5,11.3
30,12/17/2018,SAC,@,MIN,L 105-132,240,48,96,0.5,38,69,0.551,10,27,0.37,26,30,0.867,132,123.5,0.313,0.281,0.604,0.552,0.271,25.6,60.4,77.1,9.4,13.5,9.2
31,12/19/2018,SAC,,OKC,L 113-132,240,51,102,0.5,38,70,0.543,13,32,0.406,17,27,0.63,132,120.1,0.265,0.314,0.58,0.564,0.167,35.3,60.6,52.9,7.3,10.2,13
32,12/21/2018,SAC,,MEM,W 102-99,240,37,80,0.463,21,48,0.438,16,32,0.5,9,10,0.9,99,106.3,0.125,0.4,0.586,0.563,0.113,21.1,51.2,64.9,7.5,17,17.6
33,12/23/2018,SAC,,NOP,W 122-117,240,44,94,0.468,38,68,0.559,6,26,0.231,23,28,0.821,117,109.5,0.298,0.277,0.55,0.5,0.245,24,53.7,59.1,5.6,13,10.1
34,12/26/2018,SAC,@,LAC,L 118-127,240,48,96,0.5,36,68,0.529,12,28,0.429,19,23,0.826,127,121.2,0.24,0.292,0.598,0.563,0.198,31.1,53.8,47.9,6.7,8.1,10.2
35,12/27/2018,SAC,,LAL,W 117-116,240,45,88,0.511,35,63,0.556,10,25,0.4,16,23,0.696,116,110.8,0.261,0.284,0.591,0.568,0.182,22,48.9,55.6,6.7,6.9,14.8
