Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,SAC,,UTA,L 117-123,240,41,79,0.519,28,52,0.538,13,27,0.481,28,38,0.737,123,116.4,0.481,0.342,0.642,0.601,0.354,13.5,54.3,51.2,7.6,5.3,15.1
2,10/19/2018,SAC,@,NOP,L 129-149,240,56,95,0.589,40,64,0.625,16,31,0.516,21,33,0.636,149,133.9,0.347,0.326,0.68,0.674,0.221,28.6,57.1,62.5,5.4,5.6,12.7
3,10/21/2018,SAC,@,OKC,W 131-120,240,46,104,0.442,37,65,0.569,9,39,0.231,19,30,0.633,120,109.1,0.288,0.375,0.512,0.486,0.183,34.6,52.6,50,10,13,13.3
4,10/23/2018,SAC,@,DEN,L 112-126,240,51,99,0.515,40,69,0.58,11,30,0.367,13,15,0.867,126,125.6,0.152,0.303,0.597,0.571,0.131,33.3,55.7,60.8,11,5.5,10.2
5,10/24/2018,SAC,,MEM,W 97-92,240,36,94,0.383,26,57,0.456,10,37,0.27,10,13,0.769,92,94.5,0.138,0.394,0.461,0.436,0.106,23.6,46.2,50,7.2,9.2,13.1
6,10/26/2018,SAC,,WAS,W 116-112,240,40,86,0.465,26,44,0.591,14,42,0.333,18,23,0.783,112,102.8,0.267,0.488,0.583,0.547,0.209,11.4,44.2,55,7.3,12.1,17.9
7,10/29/2018,SAC,@,MIA,W 123-113,240,38,92,0.413,25,53,0.472,13,39,0.333,24,34,0.706,113,103.8,0.37,0.424,0.528,0.484,0.261,26,53.1,52.6,9.2,12.7,14.4
8,10/30/2018,SAC,@,ORL,W 107-99,240,36,91,0.396,25,48,0.521,11,43,0.256,16,22,0.727,99,96.6,0.242,0.473,0.492,0.456,0.176,20.4,48.5,77.8,9.8,12.9,13.7
9,11/1/2018,SAC,@,ATL,W 146-115,240,42,87,0.483,34,56,0.607,8,31,0.258,23,34,0.676,115,101.9,0.391,0.356,0.564,0.529,0.264,21.7,48.3,61.9,5.3,9.5,17.7
10,11/4/2018,SAC,@,MIL,L 109-144,240,46,95,0.484,24,39,0.615,22,56,0.393,30,33,0.909,144,131.4,0.347,0.589,0.657,0.6,0.316,21.7,56,65.2,5.5,11.9,9.9
11,11/7/2018,SAC,,TOR,L 105-114,240,41,89,0.461,30,53,0.566,11,36,0.306,21,23,0.913,114,111.5,0.258,0.404,0.575,0.522,0.236,34.2,63.1,41.5,9.8,6.2,16.8
